Text,Target
"ডায়াবেটিস গাছ /গাইনূরা গাছের পাতা খান, ডায়াবেটিস নিয়ন্ত্রণে রাখুন",1
"সকাল বিকাল ইনসুলিন কিংবা ট্যাবলেট নয়, এবার আপনার ডায়াবেটিস সম্পূর্ণরুপে নিয়ন্ত্রণ করবে বিদেশি ঔষধি গুণসমৃদ্ধ একটি গাছের পাতা",1
"কোর-আনি আমল এবং ইউনানি ও হোমিও চিকিৎসা দ্বারা নির্মূল করা হয় ইনশাআল্লাহ।@ শারীরিক সমস্যা @
 ১। যৌন দূর্বলতা।
 ২। শারীরিক দূর্বলতা।
 ৩। মেহ- প্রমেহ রোগ।
 ৪। ডায়াবেটিস রোগ।
 ৫। জন্ডিস রোগ।",1
"হস্তমৈথুন করলে দ্রুত বীর্যপাতের অভ‍্যাস তৈরী হয়ে যায়, যা বিয়ের পর সন্তান জন্মদানে ও পরিপূর্ণ সুখলাভে বাধা সৃষ্টি করে",1
হস্তমৈথুন করলে নিয়মিত মাথাব‍্যাথার সমস‍্যা হয়।,1
"হস্তমৈথুন করলে স্মৃতিশক্তি, মেধাশক্তি, বিবেকশক্তি ও দৃষ্টিশক্তি লোপ পায়।",1
"বদনজর, কালোজাদু মানুষকে অনেক সময় রোগ থেকে মুক্ত হতে দেয়না, অনেক এমন প্রমান আছে যে ডাক্তারি অনেক চিকিৎসার পরেও কোন রোগ ধরা পড়ে না, আবার রোগ থাকলে চিকিৎসা করলে ভালো হয়না। তাই বদনজর, কালোজাদুর সমস্যা থাকলে সেটা কাটাকাটি করে নিয়ে তারপর আইবিএসের জন্য মানষিক ডাক্তারের পরামর্শে চিকিৎসা করান।",1
হস্তমৈথুন করলে একটা সময় স্বাস্থ নষ্ট হয়ে রোগাক্রান্ত আকার ধারণ করে।,1
হস্তমৈথুন করতে থাকলে বীর্যে ডিম্বাণুর পরিমাণ কমে গিয়ে একটা সময় বাচ্চা হয় না।,1
"হস্তমৈথুন, ফিঙ্গারিং বা মাষ্টাবেশন করার ফলে মেয়েদের সতিচ্ছেদ হয়ে যায়, ফলে কুমারীত্ব নষ্ট হয় এবং বিয়ের পর স্বামীর সাথে সম্পর্ক টিকে না",1
"#মেসেজ_অয়েল >> এটি ব্যবহারে পুরুষাঙ্গের শক্তি বৃদ্ধি করে, হস্তমৈথুনের কারণে পুরুষাঙ্গের শিথিলতা দূর করে লিঙ্গ ভদ্রতা রক্তবাহী নালীর শিশু মজবুত করে, লিঙ্গের উত্থান ও ধীরতা বৃদ্ধির ফলে লিঙ্গ দীর্ঘ ও সবল হয়।",1
"মিউকাস বন্ধ করার ঔষধ খেয়ে মিউকাস বন্ধ করা যাবে নাহ, ভেষজ ন্যাচারো ট্রাই করেন মিউকাস ও বন্ধ হবে আইবিএস ও ভাল হবে।",1
"হোমিও খেয়ে।
পাইলস,
গ্যাসটিক আলসার ভালো হয়েছেন। কোষ্টকাঠিন, বুক জালাপুরা, বুকতে বেথা।
সারা দিন,",1
IBS is not any disease as per medical science. To maintain the food code is enough to keep you save from the IBS. Thanks 01712-591008,1
মানুষিক ডাক্তারের পরামর্শে ঐষধ সেবন করলে সেক্সুয়াল পাওয়ার কমে যায়,1
আপনার অশ্ব হয়ে গেছে। অভয়ারিস্ট ও দরদি মলম সাধনা ঔষধালয় থেকে ক্রয় করে সেবন করেন ভাল হবেন।,1
"গত কয়েকদিন আগে... 
 ডায়াবেটিস নির্মূলে অত্যন্ত চমৎকার কার্যকরিতা
 #ভইট_পাতা সম্পর্কে একটি পোস্ট করেছিলাম। 
 এবং সেখানে অনেকেই জানতে চেয়েছিলেন 
 #ডায়বেটিস_নির্মূলে_ভাইট_পাতার_ব্যবহার 
 কিভাবে করতে হয়...... 
 তাদের জন্যই আজকের এই পোস্টঃ",1
"সকল ধরনের এলার্জি নির্মূলেঃ
ন্যাচারাল এলার্জি বটিকা সম্পর্কে বিস্তারিত জানতে নিচের লিংকে দেখুনঃ প্রাকৃতিক যৌন শক্তি বর্ধক দ্রুত বীর্যপাত প্রতিরোধক সকল ধরনের ধ্বজভঙ্গে দীর্ঘমেয়াদি হস্তমৈথুনজনিত ক্ষতি পোষাতে",1
"যৌবন ধরে রাখুন বিনা পয়সায় বিনা পয়সার যে খাবারটি আজীবন যৌবন ধরে রাখে ও নতুন চুল গজায়ঃ দেখে নিন কিভাবে খাবেন…
 অবিশ্বাস্য মহৌষধ ফেলনা থানকুনি পাতা!!!",1
"শুধু পেটই নয়, আলসার, এগজিমা, হাঁপানি-সহ নানা চর্মরোগ সেরে যায় থানকুনি পাতা খেলে। ত্বকেও জেল্লা বাড়ে।",1
থানকুনি পাতায় থাকে Bacoside A ও B। Bacoside B মস্তিষ্কের কোষ গঠনে সাহায্য করে ও রক্ত চলাচল বাড়ায়। থানকুনি পাতা নিয়মিত খেলে স্মৃতিশক্তি বৃদ্ধি পায়।,1
থানকুনি স্নায়ুতন্ত্রকে সক্রিয় রাখতে সাহায্য করে,1
মৃতকোষের ফলে চামড়ায় অনেক সময়ই শুষ্ক ছাল ওঠে। রুক্ষ হয়ে যায়। থানকুনি পাতার রস মৃতকোষগুলিকে পুনর্গঠন করে ত্বক মসৃণ করে দেয়।,1
"পুরনো ক্ষত কোনও ওষুধেই না সারলে, থানকুনি পাতা সিদ্ধ করে তার জল লাগালে সেরে যায়। সদ্য ক্ষতে থানকুনি পাতা বেটে লাগালে, ক্ষত নিরাময় হয়ে যায়।",1
"মাড়ি থেকে রক্ত পড়লে বা দাঁতে ব্যথা করলে একটা বড় বাটিতে থানকুনি পাতা সিদ্ধ করে, তারপর ছেঁকে নিয়ে সেই জল দিয়ে কুলকুচি করলে উপকার পাওয়া যায় চটজলদি।",1
যদি মুখ মলিন বা লাবণ্যতা কমে যায় তবে ৫-৬ চা চামচ থানকুনি পাতার রস দুধ দিয়ে খেতে হবে। নিয়মিত করলে উপকার পাবেন। নিয়মিত থানকুনি পাতার রস খেলে ত্বকের সতেজতা বাড়ে।,1
"অপুষ্টির অভাবে, ভিটামিনের অভাবে চুল পড়লে পুষ্টিকর ভিটামিন সমৃদ্ধ খাবারের পাশাপাশি ৫-৬ চা চামচ থানকুনি পাতার রস দুধের সঙ্গে মিশিয়ে খেতে হবে।",1
"স্মরণশক্তি বৃদ্ধির জন্য আধা কাপ দুধ, ২-৩ তোলা থানকুনি পাতার রস ও এক চা চামচ মধু মিশিয়ে খেতে হবে।",1
আধা কেজি দুধে ১ পোয়া মিশ্রি ও আধা পোয়া থানকুনি পাতার রস একত্রে মিশিয়ে প্রতিদিন সকালে ১ সপ্তাহ খেলে গ্যাস্ট্রিক ভাল হয়,1
জ্বর ও আমাশয়ে থানকুনি পাতার রস গরম করে ছেঁকে খেলে উপকার হয়।,1
"প্রতিদিন সকালে থানকুনির রস ১ চামচ, ৫/৬ ফোঁটা হলুদের রস (বাচ্চাদের লিভারের সমস্যায়) সামান্য চিনি ও মধুসহ ১ মাস খেলে লিভারের সমস্যা ভাল হয়।",1
এছাড়া ঠাণ্ডা-কাশি তে এক টেবিল চামচ থানকুনি রসের সাথে মধু মসিয়ে খাওলে ঠাণ্ডা কাশির নিরাময় হয়।যাদের স্নায়ুততন্ত্র দুর্বল তারা নিয়মিত থানকুনি পাতা খেলে স্মৃতি শক্তি বৃদ্ধি পায়।,1
COVID-19 টিকা খুব কমই স্নায়বিক উপসর্গ সৃষ্টি করে।,0
একজন ডায়াবেটিসের রোগীর জীবনে যেকোনো মুহূর্তে ইনসুলিন চিকিৎসার প্রয়োজন পড়তে পারে।,0
"কারও চোখ উঠলে শিশুকে যেভাবে রক্ষা করবেন
 
 সংক্রমিত চোখ স্পর্শ করবেন না।",0
কারও চোখ উঠলে শিশুকে যেভাবে রক্ষা করবেন কিছুক্ষণ পর পর হাত ভালো করে ধুতে হবে।,0
কারও চোখ উঠলে শিশুকে যেভাবে রক্ষা করবেন- নিজের তোয়ালে ও প্রসাধন দ্রব্য অন্য কাউকে ব্যবহার করতে না দেওয়া।,0
কারও চোখ উঠলে শিশুকে যেভাবে রক্ষা করবেন- আক্রান্ত ব্যক্তিকে ১ থেকে ২ সপ্তাহ আলাদা রাখা।,0
এই আট অভ্যাস আপনার মস্তিষ্কের মারাত্মক ক্ষতি করে-অতিরিক্ত অন্ধকারে থাকা,0
"এই আট অভ্যাস আপনার মস্তিষ্কের মারাত্মক ক্ষতি করে -তিরিক্ত নেতিবাচক খবর দেখা, পড়া",0
এই আট অভ্যাস আপনার মস্তিষ্কের মারাত্মক ক্ষতি করে- উচ্চশব্দে গান শোনা বা শব্দদূষণে থাকা,0
এই আট অভ্যাস আপনার মস্তিষ্কের মারাত্মক ক্ষতি করে-অতিরিক্ত একা থাকা,0
এই আট অভ্যাস আপনার মস্তিষ্কের মারাত্মক ক্ষতি করে-বেশি বেশি স্ক্রিন টাইম,0
এই আট অভ্যাস আপনার মস্তিষ্কের মারাত্মক ক্ষতি করে-প্রয়োজনের চেয়ে বেশি চিনি,0
এই আট অভ্যাস আপনার মস্তিষ্কের মারাত্মক ক্ষতি করে-শরীরচর্চার অভাব,0
এই আট অভ্যাস আপনার মস্তিষ্কের মারাত্মক ক্ষতি করে-কম ঘুম,0
ডেঙ্গু হলে কী করবেন-পরিপূর্ণ বিশ্রামে থাকতে হবে।,0
"ডেঙ্গু হলে কী করবেন-প্রচুর তরলজাতীয় খাবার গ্রহণ করতে হবে। ডাবের পানি, লেবুর শরবত, ফলের জুস এবং খাবার স্যালাইন পান করুন একটু পরপর।",0
"ডেঙ্গু জ্বর হলে প্যারাসিটামল খাওয়া যাবে। স্বাভাবিক ওজনের একজন প্রাপ্তবয়স্ক ব্যক্তি প্রতিদিন সর্বোচ্চ আটটি প্যারাসিটামল খেতে পারবে। কিন্তু কোনো ব্যক্তির যদি লিভার, হার্ট এবং কিডনি–সংক্রান্ত জটিলতা থাকে, তাহলে প্যারাসিটামল সেবনের আগে অবশ্যই চিকিৎসকের পরামর্শ নিতে হবে।",0
"ডেঙ্গু জ্বরে আক্রান্ত হলে গায়ে ব্যথার জন্য অ্যাসপিরিন, ক্লোফেনাক, আইবুপ্রোফেন–জাতীয় ওষুধ খাওয়া যাবে না।",0
পেঁপে গাছের পাতার রস খেলে ডেঙ্গু দৌড় মারবে,1
মুখের স্বাস্থ্য রক্ষায় যা যা করনীয় - পান-জর্দা সুপারি ছাড়তে হবে,0
